Date|Category|Item|Amount|Regular ?|Remark
9/15/2015|Meal|Lunch|$44.00 |Y|燉奶佬
9/15/2015|Transport|MTR|$7.80 |Y|尖沙咀返家
9/15/2015|Cook|Food|$59.90 |Y|提子 / 烏龍茶
9/15/2015|Meal|Lunch|$29.00 |Y|譚仔
9/15/2015|Domestic|垃圾剷|$69.00 |N|日本城
9/16/2015|Meal|Breakfast|$29.00 |Y|
9/16/2015|Meal|Lunch|$47.50 |Y|KFC
9/16/2015|Cook|Drink|$40.00 |Y|Pacific Coffee
9/16/2015|Cook|Food|$40.30 |Y|ParkNShop
9/15/2015|Bill|Cellular|$216.00 |Y|Smartone
8/14/2015|Bill|ACE Insurance|$399.00 |Y|
9/17/2015|Meal|Breakfast|$23.00 |Y|興濱
9/17/2015|Meal|Lunch|$47.50 |Y|KFC
9/17/2015|Cook|Snack|$19.90 |N|
9/18/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
9/18/2015|Meal|Lunch|$47.00 |Y|
9/18/2015|Transport|MTR|$415.00 |Y|都會票
9/18/2015|Cook|Food|$45.30 |Y|ParkNShop
9/18/2015|Cook|Snack|$9.00 |N|甜筒
9/19/2015|Jinny|奶粉|$359.00 |Y|mannings
9/19/2015|Meal|Lunch|$255.00 |Y|the night market (element)
9/19/2015|Misc|Lens|$590.00 |N|Canon Lens from broadway
9/19/2015|Cook|Drink|$20.70 |Y|道地烏龍茶, 玉泉有氣葡萄味飲品(7-11)
9/19/2015|Drive|泊車|$204.00 |Y|Langham Place 5h51m
9/20/2015|Jinny|baby feeding produce|$172.00 |Y|Kidsme product
9/20/2015|Meal|Dinner|$110.20 |Y|KFC delivery
9/20/2015|Cook|Drink|$11.00 |Y|道地烏龍茶(7-11)
9/20/2015|Drive|泊車|$75.00 |Y|Scout Centre Carpark 2h52m
9/21/2015|Meal|Breakfast|$22.00 |Y|美心麵包
9/21/2015|Meal|Lunch|$42.00 |Y|龍鳳
9/21/2015|Meal|Lunch|$46.50 |Y|美心 MX
9/21/2015|Cook|Food|$68.50 |Y|ParkNShop
9/22/2015|Transport|MTR|$26.20 |Y|來回太古
9/22/2015|Meal|Lunch|$40.00 |Y|
9/22/2015|Meal|Lunch|$35.00 |Y|車仔麵
9/21/2015|Cook|買餸|$500.00 |Y|玫瑰
9/23/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
9/23/2015|Meal|Lunch|$51.00 |Y|銳記
9/23/2015|Meal|Lunch|$46.00 |Y|MX
9/23/2015|Transport|MTR|$26.20 |Y|來回太古
9/23/2015|Cook|Food|$126.90 |Y|Rice and wash hand soap
9/23/2015|Jinny|toy|$514.50 |Y|toysrus fisher price piano
9/24/2015|Meal|Breakfast|$16.00 |Y|腸粉 / 牛肉
9/24/2015|Transport|MTR|$26.20 |Y|來回太古
9/24/2015|Bill|Peaceful Mansion|$2,448.00 |Y|management fee
9/24/2015|Cook|Food|$10.00 |Y|6 apples
9/24/2015|Transport|Bus|$5.40 |Y|cheung sha wan to mei foo
9/24/2015|Cook|Food|$50.30 |Y|ParkNShop
9/24/2015|Cook|Food|$28.80 |Y|ParkNShop
9/24/2015|Cook|Food|$6.00 |Y|3 potato
9/24/2015|Meal|Dinner|$32.80 |Y|McDonald
9/24/2015|Cook|Snack|$46.30 |Y|chips and drink
9/24/2015|Meal|Lunch|$54.00 |Y|雞飯
9/24/2015|Meal|Breakfast|$25.00 |Y|大家樂
9/24/2015|Meal|Lunch|$35.00 |Y|車仔麵
9/25/2015|Meal|Lunch|$50.00 |Y|銳記
9/25/2015|Meal|Lunch|$50.00 |Y|Toast box
9/25/2015|Transport|MTR|$26.20 |Y|來回太古
9/26/2015|Cook|Food|$94.50 |Y|ParkNShop
9/26/2015|Cook|Drink|$24.00 |N|歇腳亭
10/14/2015|Bill|Water|$464.00 |Y|
9/27/2015|Meal|Lunch|$412.00 |Y|百樂門
9/27/2015|Domestic|Contact lens|$2,280.00 |Y|
9/27/2015|Jinny|奶樽|$264.00 |Y|5x
9/27/2015|Meal|Dinner|$256.00 |Y|大戶屋
9/28/2015|Cook|Food|$15.00 |Y|meat
